taxon	cytb	contains-NADH-dehydrogenase-subunit-3,-NADH-dehydrogenase-subunit-4L-and-NADH-dehydrogenase-subunit-4	tRNA-Val	DBY	noncoding-region-downstream-from-the-DAZ-gene-fragment-1	UTY	TSPY	unknown	ZFY	noncoding-region-downstream-from-the-DAZ-gene-fragment-2	
Nomascus siki	GU595012,L02763,L02762								HM756980		
Hylobates muelleri	Y13300,L02773	AY961017,AY961016,HM631733	AB050179,AB050178	JN871426	JN871348	JN871452	JN871374	EF363507,EF363508	HM756978	JN871322	
Hylobates lar	L02772,L02766,L02770	AY961003	AB050177,AB050176,AB050175	JN871430,JN871435,JN871447	JN871352,JN871369,JN871347	DQ520714,JN871451,JN871471	D89773,JN871373	AB720997,AB720994,AB721002	HM756976,DQ520724	JN871344,JN871326	
Hylobates pileatus	GU321293,GU321291,GU321294	AY961018,AY961019	AB050185,AB050184,AB050183	JN871437,JN871438	JN871360,JN871359	JN871464,JN871463	JN871386,JN871385	EF363509	HM631806	JN871333,JN871334	
Hylobates moloch	GU321296,AJ010580,GU321295	AY961007,AY961005,AY961004	AB050186,AB050187	JN871436,JN871428	JN871358,JN871350	JN871454,JN871462	JN871384		HM631811	JN871332	
Nomascus gabriellae	GU321275,GU595021,L02755	AY961026,AY961027,AY961025		JN871434,JN871431	JN871356	JN871460	JN871382		HM631808,HM756979	JN871330	
Hylobates klossii	GU321317,L02765,GU321315	AY961011,AY961012,AY961009,AY961008	AB050181,AB050180,AB050182	JN871429	JN871351	JN871455	JN871377	EF363496,EF363502,EF363489		JN871325	
Nomascus nasutus	GU594996,GU321246,GU321245	AY961033									
Hylobates agilis		AY961014,AY961013	AB050173,AB049472,AB050174	JN871443,JN871444,JN871427	JN871365,JN871366,JN871349	JN871469,JN871453	JN871375,JN871391,D89774	EF363485	HM631805,HM756975	JN871339,JN871340	
